Vehicle_ID,Frame_ID,Local_X,Local_Y,v_Vel
1103,0,6.97,0.0,19.98
1103,1,6.98,1.99,19.95
1103,2,6.99,3.97,20.09
1103,3,7.01,5.96,20.6
1103,4,7.03,8.04,21.57
1103,5,7.02,10.27,22.93
1103,6,6.99,12.62,24.28
1103,7,6.93,15.13,25.26
1103,8,6.85,17.73,25.77
1103,9,6.78,20.34,25.91
1103,10,6.7,22.92,25.94
1103,11,6.63,25.51,26.06
1103,12,6.56,28.13,26.16
1103,13,6.48,30.76,26.16
1103,14,6.4,33.38,26.06
1103,15,6.32,35.98,25.92
1103,16,6.23,38.55,25.86
1103,17,6.15,41.14,25.86
1103,18,6.07,43.73,25.86
1103,19,5.99,46.31,25.86
1103,20,5.91,48.9,25.86
1103,21,5.83,51.49,25.87
1103,22,5.75,54.07,25.86
1103,23,5.67,56.66,25.8
1103,24,5.59,59.25,25.65
1103,25,5.53,61.8,25.43
1103,26,5.5,64.33,25.22
1103,27,5.5,66.84,25.07
1103,28,5.49,69.33,25.0
1103,29,5.49,71.83,25.0
1103,30,5.48,74.33,25.03
1103,31,5.48,76.85,24.95
1103,32,5.47,79.35,24.63
1103,33,5.46,81.8,24.14
1103,34,5.46,84.17,23.74
1103,35,5.45,86.49,23.74
1103,36,5.45,88.86,24.13
1103,37,5.44,91.31,24.62
1103,38,5.43,93.81,24.96
1103,39,5.43,96.33,25.07
1103,40,5.42,98.85,24.97
1103,41,5.44,101.35,24.68
1103,42,5.4,103.81,24.27
1103,43,5.29,106.19,23.97
1103,44,5.180024961873913,108.56945991581895,23.669999999999998
1103,45,5.180024961873913,110.93645991581896,23.669999999999998
1103,46,4.965011744515441,113.3940722360113,25.669999999999998
1103,47,4.965011744515441,115.96107223601129,25.669999999999998
1103,48,4.965011744515441,118.5280722360113,25.669999999999998
1103,49,4.965011744515441,121.0950722360113,25.669999999999998
1103,50,4.7325673786074365,123.75192349582198,27.669999999999998
1103,51,4.7325673786074365,126.51892349582198,27.669999999999998
1103,52,4.7325673786074365,129.28592349582198,27.669999999999998
1103,53,4.7325673786074365,132.05292349582197,27.669999999999998
1103,54,4.7325673786074365,134.81992349582197,27.669999999999998
1103,55,4.491407438424666,137.57639422544182,27.669999999999998
1103,56,3.993558113053577,140.3998380533278,29.669999999999998
1103,57,3.2256420062343976,143.26573997992747,29.669999999999998
1103,58,2.2108682409871383,146.05380798579927,29.669999999999998
1103,59,1.4429521341679592,148.91970991239893,29.669999999999998
1103,60,0.9277379910301768,151.84163451558615,29.669999999999998
1103,61,0.6691469022978751,154.79734418482437,29.669999999999998
1103,62,0.6691469022978751,157.76434418482438,29.669999999999998
1103,63,0.6691469022978751,160.7313441848244,29.669999999999998
1103,64,0.6691469022978751,163.6983441848244,29.669999999999998
1103,65,0.6691469022978751,166.66534418482442,29.669999999999998
1103,66,0.6691469022978751,169.63234418482443,29.669999999999998
1103,67,0.6691469022978751,172.59934418482445,29.669999999999998
1103,68,0.6691469022978751,175.56634418482446,29.669999999999998
1103,69,0.4105558135655733,178.52205385406268,29.669999999999998
1103,70,-0.12202314733890202,181.54245923255112,31.669999999999998
1103,71,-0.3980453846207354,184.69740784140768,31.669999999999998
1103,72,-0.9479891632919037,187.81629399519736,31.669999999999998
1103,73,-1.7250871313580678,190.8864744048846,31.669999999999998
1103,74,-2.443108331494572,193.9710059019121,31.669999999999998
1103,75,-3.0772051479783222,197.07387718949803,31.669999999999998
1103,76,-3.633341615029247,200.1916650639398,31.669999999999998
1103,77,-4.120337892617936,203.32099784036592,31.669999999999998
1103,78,-4.546497035302165,206.45919435828932,31.669999999999998
1103,79,-4.91924978768844,209.60418154198157,31.669999999999998
1103,80,-5.24517894771277,212.75436553385344,31.669999999999998
1103,81,-5.530092974996371,215.90852358269262,31.669999999999998
1103,82,-5.779104247953283,219.06571891810353,31.669999999999998
1103,83,-5.996704229878095,222.22523458476294,31.669999999999998
1103,84,-6.186833406542528,225.38652228065223,31.669999999999998
1103,85,-6.3529452241461275,228.54916292796776,31.669999999999998
1103,86,-6.49806384971245,231.71283635999478,31.669999999999998
1103,87,-6.624835906250391,234.87729805919122,31.669999999999998
1103,88,-6.735576521445272,238.0423613312517,31.669999999999998
1103,89,-6.832310124743664,241.20788365939802,31.669999999999998
1103,90,-6.91680646642737,244.373756267107,31.669999999999998
1103,91,-6.99061233543493,247.53989613983848,31.669999999999998
1103,92,-7.05507943471675,250.70623992930769,31.669999999999998
1103,93,-7.1113888432391645,253.87273929777626,31.669999999999998
1103,94,-7.160572458446029,257.0393573631569,31.669999999999998
1103,95,-7.203531775849504,260.20606598521994,31.669999999999998
1103,96,-7.241054325767033,263.3728436942244,31.669999999999998
1103,97,-7.273828052384759,266.53967411008875,31.669999999999998
1103,98,-7.302453888014706,269.70654473604344,31.669999999999998
1103,99,-7.327456745930897,272.8734460381203,31.669999999999998
1103,100,-7.349295128578498,276.0403707427894,31.669999999999998
1121,0,-4.68,-58.7,32.16
